Product ID	Variant ID	Product Type	Restaurant Name	Category	Name	Description	Price	On Sale	Sale Price	Stock	Visible
6314c24b8fa7f80b1bd47d6c	92b4aa73-ea8a-4e6a-a307-c92fb7ea4b84	Regular	alans-bakery	/Challahs and Rolls	100% WHOLE WHEAT Challah	Large challah roll	7.5	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c18	43183007-4a8f-43d7-aeaf-cc2753787935	Regular	alans-bakery	/Meltaways	APPLE Meltaway	Baked fresh by Alan, packaged by Glick's	11.99	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47cc8	a2e890af-57d3-412e-84a2-39dfc7feada4	Regular	alans-bakery	/Fruit Pies	APPLE PIE	7-8 inches; Baked fresh by Alan, packaged by Glick's	11.99	No	0	Unlimited	Yes
6314c24b8fa7f80b1bd47d1a	699d76d5-5b86-4335-b20d-c158f6bcb615	Regular	alans-bakery	/Bakery Cookies	Apricot Flower Cookies	Baked fresh by Alan, packaged by Glick's	9.59	No	0	Unlimited	Yes
6314c24b8fa7f80b1bd47d29	17efea8f-3f92-47ce-9e8f-dce18664e550	Regular	alans-bakery	/Bakery Cookies	Assorted COLOR FUDGE Cookies	Baked fresh by Alan, packaged by Glick's	9.59	No	0	Unlimited	Yes
63d301570a258216f0d792f8	edaddc62-bae7-421e-8dda-8ff77167fb0c	Regular	alans-bakery	/Rings	BLACK & WHITE RING	Black & White Ring.	13.19	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47cc3	7fa16c99-d6bf-4a6b-9ca9-5313fab58ff3	Regular	alans-bakery	/Brownie Cakes	Blondie CAKE	Baked fresh by Alan, packaged by Glick's	10.18	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c84	7be29b9b-ab69-4649-9e66-a08e7c640757	Regular	alans-bakery	/Large Cupcakes	BLUE Cupcakes	6 in a pack; Baked fresh by Alan, packaged by Glick's	9.59	No	0	Unlimited	Yes
63d2f4d331c57d33236b2769	cef5aff3-20a7-4f53-a580-27083d84d127	Regular	alans-bakery	/Bakery Cookies	BLUE & WHITE Cookies	Blue & White Cookies.	9.59	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47cce	b82eec17-09de-46db-ae04-96c47198cb28	Regular	alans-bakery	/Fruit Pies	Blueberry PIE	7-8 inches; Baked fresh by Alan, packaged by Glick's	11.99	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47cb3	8d1bb73d-24ce-4e70-b985-cd19ad4e4007	Regular	alans-bakery	/Brownie Cakes	Brownie FUDGE CAKE	Baked fresh by Alan, packaged by Glick's	9.59	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47d0a	3bc8a51b-cbf1-48a1-846f-f8a3fe0bee70	Regular	alans-bakery	/Bakery Cookies	CANDY CHIP Cookies	Baked fresh by Alan, packaged by Glick's	8.39	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47cd3	650d3f71-0fdd-404c-999e-cf5be7c036e9	Regular	alans-bakery	/Fruit Pies	Cherry PIE	7-8 inches; Baked fresh by Alan, Packaged by Glick's	11.99	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c08	8f4cf5f3-058b-4710-be69-a597b9621948	Regular	alans-bakery	/Rings	Chocolate and Cinnamon BABKA RING	Baked fresh by Alan, packaged by Glick's	14.39	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c0d	61eea52a-706d-41a4-a8c2-9317d63381e0	Regular	alans-bakery	/Rings	Chocolate BABKA RING	Baked fresh by Alan, packaged by Glick's	14.39	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47d0f	f690f5b0-b98c-4fc0-8cef-1eff78088848	Regular	alans-bakery	/Bakery Cookies	Chocolate CHIP Bakery Cookies	Baked fresh by Alan, packaged by Glick's	8.39	No	0	Unlimited	Yes
6314c24b8fa7f80b1bd47da8	70fb14e5-0734-4f2a-8da2-fe639fbca4c2	Regular	alans-bakery	/Challahs and Rolls	Chocolate CHIP Challah	Large chocolate chip challah	8	No	0	Unlimited	Yes
6314c24b8fa7f80b1bd47d3e	e40ae4d5-b229-4097-b048-777ab1429dec	Regular	alans-bakery	/Soft Cookies	Chocolate CHIP Cookies	Soft cookie; Baked fresh by Alan, packaged by Glick's	8.39	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c3e	747c93ea-20b7-4bed-ab18-7294fc14fcdc	Regular	alans-bakery	/Mandelbreads	Chocolate Covered Mandelbread	Baked fresh by Alan, packaged by Glick's	10.79	No	0	Unlimited	Yes
6314c24b8fa7f80b1bd47d38	1936c24b-4bab-43c8-9f60-2a3bd9c8ef52	Regular	alans-bakery	/Soft Cookies	Chocolate Crinkle Cookies	Baked fresh by Alan, packaged by Glick's	8.39	No	0	Unlimited	Yes
63d2f6fe1a1d235bf536eb0a	fa90b0e6-51bb-4a88-84c4-a2f66396ce63	Regular	alans-bakery	/Doughnuts	Chocolate Custard Doughnut	1 per order	2.98	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47bda	862551e9-326b-4b39-a4bf-3119737f28ef	Regular	alans-bakery	/Babkas	Chocolate Danish BABKA	Baked fresh by Alan, packaged by Glick's	9.59	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47cf2	b6c209fc-fd1c-4308-bd6b-1a116614ef9b	Regular	alans-bakery	/Bakery Cookies	Chocolate Flower Cookies	Baked fresh by Alan, packaged by Glick's	9.59	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47c12	d06c2d24-8b2d-4d7f-84ba-750c485c37d1	Regular	alans-bakery	/Meltaways	Chocolate Meltaway	Baked fresh by Alan, packaged by Glick's	11.99	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47cdd	6603448e-415c-4616-868a-68ef7dd0010c	Regular	alans-bakery	/Fancy cream pies	Chocolate Mousse PIE	9 inches; Baked fresh by Alan, Packaged by Glick's	14.39	No	0	Unlimited	Yes
6314c24a8fa7f80b1bd47ce3	bc315747-1d01-4323-8a33-994ab209dfc5	Regular	alans-bakery	/Fancy cream pies	Chocolate Pudding PIE	9 inches; Baked fresh by Alan, Packaged by Glick's	14.39	No	0	Unlimited	Yes
