Product ID [Non Editable]	Variant ID [Non Editable]	Product Type [Non Editable]	Product Page	Product URL	Title	Description	SKU	Option Name 1	Option Value 1	Option Name 2	Option Value 2	Option Name 3	Option Value 3	Option Name 4	Option Value 4	Option Name 5	Option Value 5	Option Name 6	Option Value 6	Price	Sale Price	On Sale	Stock	Categories	Tags	Weight	Length	Width	Height	Visible
6314c1fe8fa7f80b1bd47253	aaa196de-5fb0-4bbd-a64f-a4fc28f31e90	PHYSICAL	five-fifty	1ibds5707ebl5ahhzotyeq8vmolzzf-6lsf2	SABLE	1lb of sable. Fish.	SQ1076180													79.99	0	No	Unlimited	/Fish		0	0	0	0	Yes
6314c1fe8fa7f80b1bd47259	03dbd966-cf43-4416-a340-ee3aad00f6b3	PHYSICAL	five-fifty	1ibds5707ebl5ahhzotyeq8vmolzzf-zpwxl-3hf8x	Kippered Salmon	1lb of kippered salmon. Fish.	SQ0113807													60	0	No	Unlimited	/Fish		0	0	0	0	Yes
6314c1fe8fa7f80b1bd4725e	83ad504d-6049-49d3-851d-5acaf079bf0e	PHYSICAL	five-fifty	1ibds5707ebl5ahhzotyeq8vmolzzf-zpwxl-w7fya-5meek	BEET LOX	1lb of beet lox. Fish.	SQ5232507													72	0	No	Unlimited	/Fish		0	0	0	0	Yes
6314c1fe8fa7f80b1bd47268	4a637923-5a4b-4597-954e-aa5ef55d2190	PHYSICAL	five-fifty	1ibds5707ebl5ahhzotyeq8vmolzzf-zpwxl-w7fya-6d37n-7t8bp-4kh68	Pastrami NOVA	1lb of pastrami nova. Fish.	SQ7017535													72	0	No	Unlimited	/Fish		0	0	0	0	Yes
6314c1fe8fa7f80b1bd4726d	e23ca462-33dd-429e-833d-57bfecc6e384	PHYSICAL	five-fifty	1ibds5707ebl5ahhzotyeq8vmolzzf-zpwxl-w7fya-6d37n-7t8bp-mzymy-msw56	NOVA	1lb of nova. Fish.	SQ7082373													72	0	No	Unlimited	/Fish		0	0	0	0	Yes
6314c1fe8fa7f80b1bd47263	11961b2f-d6bc-4261-8e5e-92d80b7aa8b2	PHYSICAL	five-fifty	1ibds5707ebl5ahhzotyeq8vmolzzf-zpwxl-w7fya-6d37n-kfghj	Gravlox	1lb of gravlox. Fish.	SQ8188334													72	0	No	Unlimited	/Fish		0	0	0	0	Yes
6314c1fe8fa7f80b1bd473a4	5565e024-f040-4aa9-be64-23d041884aea	PHYSICAL	five-fifty	5xh5mayxrs579e1rq3nqp3tvvkteqx-3tma3-ces3t-dmhgt-aebrf-wdc6d	Smoked FISH Platter	Nova, Patrami Nova, Gravlox, Beet Gravlox, Sable, Kippered Salmon	SQ7578882	Size	Small (8 to 12 Persons)											229.99	0	No	Unlimited	/Platters		0	0	0	0	Yes
	9f757bc9-5ffd-4ae3-9c79-369e91441167		five-fifty			Smoked FISH Platter.	SQ8600183	Size	Medium (2 to 16 Persons)											284.99	0	No	Unlimited	/Platters		0	0	0	0	
	00d1bd9a-efb0-4bbb-82c1-9e545cfc40f2		five-fifty			Smoked FISH Platter.	SQ4740741	Size	Large (15 to 20 Persons)											334.99	0	No	Unlimited	/Platters		0	0	0	0	
6314c1fe8fa7f80b1bd4739f	d476b9b4-2fc4-459d-ab71-ebe008bed771	PHYSICAL	five-fifty	5xh5mayxrs579e1rq3nqp3tvvkteqx-3tma3-ces3t-dmhgt-ptjnr	Charcuterie Platter	Bresaolla, Basturmma, Prosciutto, Rolled Veal, Dry Salami, Beef Jerky, Stokies	SQ0714244	Size	Small (8 to 12 Persons)											181	0	No	Unlimited	/Platters		0	0	0	0	Yes
	b52edb53-e3fc-45cd-aef0-067e8b75736e		five-fifty			Charcuterie Platter.	SQ0583740	Size	Medium (2 to 16 Persons)											209.75	0	No	Unlimited	/Platters		0	0	0	0	
	988be72b-8505-4eb6-b199-ce1693970ce9		five-fifty			Charcuterie Platter.	SQ6523045	Size	Large (15 to 20 Persons)											262.15	0	No	Unlimited	/Platters		0	0	0	0	
6314c1fe8fa7f80b1bd4739a	344c0969-5dd8-4f8a-84ee-925ff047b596	PHYSICAL	five-fifty	5xh5mayxrs579e1rq3nqp3tvvkteqx-3tma3-ces3t-g7d64	DELI Platter	Corned Beef, Pastrami, Salami, Turkey, Roast Beef, Dry Salami	SQ7035615	Size	Small (8 to 12 Persons)											180.25	0	No	Unlimited	/Platters		0	0	0	0	Yes
	63375957-30c1-4435-b1ab-fbd066c414e7		five-fifty			DELI Platter.	SQ1178013	Size	Medium (2 to 16 Persons)											215.5	0	No	Unlimited	/Platters		0	0	0	0	
	79f4ba7a-0143-413a-bfeb-d27af8784912		five-fifty			DELI Platter.	SQ5683238	Size	Large (15 to 20 Persons)											254.99	0	No	Unlimited	/Platters		0	0	0	0	
6314c1fe8fa7f80b1bd47395	95990783-bde8-4cc9-a8a6-af1a751e36ed	PHYSICAL	five-fifty	5xh5mayxrs579e1rq3nqp3tvvkteqx-3tma3-mwker	Herring Platter	Mat-Lox, Celery Scallion, Shmaltz Jalapeño, Matjes Olive. Pickled Herring n' Cream Small (6 to 8 Persons)	SQ4825803													65.75	0	No	Unlimited	/Platters		0	0	0	0	Yes
6314c1fe8fa7f80b1bd4738f	acd3b7fe-7fcb-44b3-8e58-0018e738bbd6	PHYSICAL	five-fifty	5xh5mayxrs579e1rq3nqp3tvvkteqx-te4yh	MAZA Platter	Lachmagin, Kibbeh, Empanada, Chicken Fingers (Only in large size!) , Potato Knish, Frank in Blank, Tehina	SQ7671043	Size	Small (12 to 15 Persons)											134.25	0	No	Unlimited	/Platters		0	0	0	0	Yes
	4541ad42-1993-49c6-96d7-10d834ecad14		five-fifty			MAZA Platter.	SQ4211643	Size	Large (20 to 25 Persons)											172.65	0	No	Unlimited	/Platters		0	0	0	0	
6314c1fe8fa7f80b1bd472ed	38d5df90-369e-43e0-9dc2-1b9402fb54df	PHYSICAL	five-fifty	6bu6f9r5lts5hgv7az1kruvqf9ee5q-kkrdg-578f6	DRY Salami (S)	1lb of dry salami (s) cold cuts.	SQ1765303													46.99	0	No	Unlimited	/Deli		0	0	0	0	Yes
6314c1fe8fa7f80b1bd472f2	b509c75c-4431-44d9-b8b8-5101ce5da79e	PHYSICAL	five-fifty	6bu6f9r5lts5hgv7az1kruvqf9ee5q-kkrdg-we4g7-343es	DRY Salami	1lb of dry salami cold cuts.	SQ1428087													46.99	0	No	Unlimited	/Deli		0	0	0	0	Yes
6314c1fe8fa7f80b1bd472f7	e291760f-7fcd-44d2-9115-91ef8ba43a47	PHYSICAL	five-fifty	6bu6f9r5lts5hgv7az1kruvqf9ee5q-kkrdg-we4g7-xbesm-3t2fk	BEEF JERKY	1lb of beef jerky cold cuts.	SQ5634251													84.99	0	No	Unlimited	/Deli		0	0	0	0	Yes
6314c1fe8fa7f80b1bd4730b	e5abec9a-b3df-441a-8da3-01d26108d2ba	PHYSICAL	five-fifty	6bu6f9r5lts5hgv7az1kruvqf9ee5q-kkrdg-we4g7-xbesm-hs8sj-f4ym6-9zd8y-gkcek-fezws	Prosciutto	1lb of prosciutto cold cuts.	SQ4200614													112.99	0	No	Unlimited	/Deli		0	0	0	0	Yes
6314c1fe8fa7f80b1bd47310	36efa268-4361-4c8e-b6d1-428db9387e3b	PHYSICAL	five-fifty	6bu6f9r5lts5hgv7az1kruvqf9ee5q-kkrdg-we4g7-xbesm-hs8sj-f4ym6-9zd8y-gkcek-lj66y-flwba	Basturma	1lb of basturma cold cuts.	SQ1642038													112.99	0	No	Unlimited	/Deli		0	0	0	0	Yes
6314c1fe8fa7f80b1bd47315	48b2c523-8f13-4609-81d2-8e6c282a2d79	PHYSICAL	five-fifty	6bu6f9r5lts5hgv7az1kruvqf9ee5q-kkrdg-we4g7-xbesm-hs8sj-f4ym6-9zd8y-gkcek-lj66y-gcsxx-l62x3	Bresaolla	1lb of bresaolla cold cuts.	SQ4248061													112.99	0	No	Unlimited	/Deli		0	0	0	0	Yes
