Product ID [Non Editable]	Variant ID [Non Editable]	Product Type [Non Editable]	Product Page	Product URL	Title	Description	SKU	Option Name 1	Option Value 1	Option Name 2	Option Value 2	Option Name 3	Option Value 3	Option Name 4	Option Value 4	Option Name 5	Option Value 5	Option Name 6	Option Value 6	Price	Sale Price	On Sale	Stock	Categories	Tags	Weight	Length	Width	Height	Visible
6314c28a8fa7f80b1bd48415	e67954c4-c6c8-4997-95c3-ce58a887c85d	PHYSICAL	graze	8-day-aged-brisket-14-lb-nd6zk	8 DAY AGED Brisket (1/4 Lb.)	FLAVOR NOTES: Slooooooow smoked, and we mean slow. This brisket is a one-of-a-kind treat that's sure to start conversations at your next gathering! INGREDIENTS: Beef, salt, pepper.	SQ5527401													19.2	0	No	Unlimited	/Charcuterie		0	0	0	0	Yes
666f236692879a0ec2adcf03	e7496d82-556b-43e1-a1c1-52d3499f43bb	PHYSICAL	graze	biltong-slab	Biltong SLAB	Biltong Slab.	SQ8460122	Flavor	Sweet											30	0	No	Unlimited	/Biltong		0	0	0	0	Yes
666f232f49eb5143d0580cc2	83959f47-0465-4068-aff0-d196a9426475	PHYSICAL	graze	biltong-snack-bag	Biltong SNACK BAG	Biltong Snack Bag.	SQ2998394	Flavor	Sweet											18	0	No	Unlimited	/Biltong		0	0	0	0	Yes
63d6c8b10a258216f0d9a663	8209dedd-e2a4-4113-9c7e-c17bb0194aab	PHYSICAL	graze	bold-jerky-platter	BOLD JERKY Platter	A platter with our most popular flavors.	SQ2729702													148.5	0	No	Unlimited	/Best Sellers		0	0	0	0	Yes
6314c28a8fa7f80b1bd48427	11153a6b-1212-4681-a0bb-f9fa142a836b	PHYSICAL	graze	bold-jerky-platter-ppljn	BOLD JERKY Platter	Choose up to 8 flavors in any style, or let us build your platter with our most popular flavors. Click add to cart to choose your 8 flavors!	SQ6118124													150	0	No	Unlimited	/Jerky Platters		0	0	0	0	Yes
6314c28a8fa7f80b1bd484f4	86e36efe-74cb-4be1-a06f-737cc7343a3a	PHYSICAL	graze	boneless-short-rib-rm7yc	Boneless SHORT RIB	English cut short rib, hickory smoked, cherry cola glazed	SQ5635168													57.6	0	No	Unlimited	/Ribs		0	0	0	0	Yes
6314c28a8fa7f80b1bd4842c	f72527a2-423a-41d3-a3f4-95f404e3ae24	PHYSICAL	graze	bourbon-bbq-jerky-14-lb-ccp7k	Bourbon BBQ JERKY (1/4 Lb.)	FLAVOR NOTES: Our whole-muscle bourbon BBQ jerky combines the sophistication of aged whiskey with the nostalgia of sweet, tangy bar-be-cue. INGREDIENTS: Beef, bourbon, salt, sugar, tomato, vinegar, mustard.	SQ5838782													18	0	No	Unlimited	/Whole muscle jerkies		0	0	0	0	Yes
6314c28a8fa7f80b1bd484cf	b0756f3a-0243-4bf2-9389-5d733f131aed	PHYSICAL	graze	buffalo-chicken-pizza-29xhk	Buffalo Chicken PIZZA	Topped with smokey bacon, caramelized onion, buffalo sauce drizzle	SQ3670064													24	0	No	Unlimited	/Pizza		0	0	0	0	Yes
6314c28a8fa7f80b1bd4849b	607f0485-c822-4b64-bf6b-79557f17da1f	PHYSICAL	graze	candied-beef-bacon-14-lb-aj8tp	Candied BEEF BACON (1/4 Lb.)	FLAVOR NOTES: Our candied beef bacon takes everything you love about bacon and then next-levels it. Seriously. INGREDIENTS: Beef, chili, maple brown sugar, salt, pepper.	SQ5708825													19.2	0	No	Unlimited	/Charcuterie		0	0	0	0	Yes
63d6c88131372c3054955ac5	89fb9094-2ba9-4afd-8792-f07c327a3f87	PHYSICAL	graze	charcuterie-sampler-board-1	Charcuterie Sampler BOARD	Classic biltong, 8 day aged brisket, candied beef bacon, honey dijon pastrami, spicy biltong, teriyaki jerky, salami classico, jalapeno sausage sticks	SQ3886230													368.5	0	No	Unlimited	/Best Sellers		0	0	0	0	Yes
6314c28a8fa7f80b1bd48464	92fa871e-623c-4032-b1b3-a02ec11177dd	PHYSICAL	graze	cherry-cola-jerky-14-lb-w5zcl	Cherry COLA JERKY (1/4 Lb.)	FLAVOR NOTES: Our whole-muscle cherry cola jerky hits all the right notes, from sweet – to acidic – to smoky. INGREDIENTS: Beef, cherry, cherry cola, salt, honey.	SQ7512576													18	0	No	Unlimited	/Whole muscle jerkies		0	0	0	0	Yes
6314c28a8fa7f80b1bd48432	488a7be8-e179-4e74-ad27-ab505e43ecd4	PHYSICAL	graze	chicago-steakhouse-jerky-14-lb-aczdb	Chicago Steakhouse JERKY (1/4 Lb.)	FLAVOR NOTES: Our whole-muscle Chicago steakhouse-style jerky is perfectly peppered. INGREDIENTS: Beef, salt, pepper, onion, garlic.	SQ5742154													18	0	No	Unlimited	/Whole muscle jerkies		0	0	0	0	Yes
63d6c9340e0fb464c80c8d7e	de7f67a8-7f63-4273-928a-0a9db405001b	PHYSICAL	graze	chipotle-honey-jerky-14-lb	Chipotle & HONEY JERKY (1/4 Lb.)	FLAVOR NOTES: Our whole-muscle&nbsp;chipotle & honey jerky combines southwest flavor with sweet natural goodness. &nbsp; INGREDIENTS: Beef, chipotle pepper powder, onion, garlic, honey. &nbsp; RECOMMENDED PAIRING: Gouda, Pepper Jelly, Chips & Salsa.	SQ4154610													18.16	0	No	Unlimited	/Best Sellers		0	0	0	0	Yes
63d6c2ac0a258216f0d9a2a6	af2f992a-5082-4d1e-a2d2-a563d222ed82	PHYSICAL	graze	classic-charcuterie-board	Classic Charcuterie BOARD	Our chef inspired collection of jerky & sulami, elegantly arranged on a classic hardwood board Serves 4-6 people	SQ4251617													120	0	No	Unlimited	/Charcuterie boards		0	0	0	0	Yes
