Product ID [Non Editable]	Variant ID [Non Editable]	Product Type [Non Editable]	Product Page	Product URL	Title	Description	SKU	Option Name 1	Option Value 1	Option Name 2	Option Value 2	Option Name 3	Option Value 3	Option Name 4	Option Value 4	Option Name 5	Option Value 5	Option Name 6	Option Value 6	Price	Sale Price	On Sale	Stock	Categories	Tags	Weight	Length	Width	Height	Visible
67cf7d8337af9573f62dff45	10b9171c-f0ca-4863-8de7-cba20f9ca133	PHYSICAL	mazza-and-more	6-pcs-deli-sliders	6 PCS DELI Sliders	6 PCS DELI Sliders.	SQ4700184													28.8	0	No	Unlimited	/Mazza		0	0	0	0	Yes
67cf7da51db0b0451a3bce05	bf72425d-dbb6-4962-ad2c-db81397e84ae	PHYSICAL	mazza-and-more	6-pcs-jalapeno-poppers	6 PCS Jalapeno Poppers	6 PCS Jalapeno Poppers.	SQ6572304													26.4	0	No	Unlimited	/Mazza		0	0	0	0	Yes
67cf7d6137af9573f62dff18	55bffe00-f4ef-417c-b7c4-0af5c9efc5ab	PHYSICAL	mazza-and-more	6-pcs-pulled-beef-sliders	6 PCS Pulled BEEF Sliders	6 PCS Pulled BEEF Sliders.	SQ9949149													28.8	0	No	Unlimited	/Mazza		0	0	0	0	Yes
67cf7f7237af9573f62e0158	31d0e46f-bf19-4a90-90a1-fdc3ef6c0f59	PHYSICAL	mazza-and-more	black-bean-empanadas-parve	BLACK BEAN Empanadas (Parve)	BLACK BEAN Empanadas (Parve).	SQ8760673													25.2	0	No	Unlimited	/Mazza		0	0	0	0	Yes
67cf7ef759814a34043d93f9	b8b7a052-5454-4152-ae18-1f603abb579c	PHYSICAL	mazza-and-more	chicken-fingers	Chicken Fingers	Price Per Dozen	SQ5876190													25.2	0	No	Unlimited	/Mazza		0	0	0	0	Yes
67cf7eb359814a34043d93b0	a5ca7a2e-69d0-4b5e-980e-4180501381ab	PHYSICAL	mazza-and-more	chicken-fire-poppers	Chicken FIRE Poppers	Price By The Pound	SQ2475789													26.4	0	No	Unlimited	/Mazza		0	0	0	0	Yes
67cf6f3f59814a34043d8456	8aa6bf51-8d19-4a2c-a43b-ecf7bc2f327e	PHYSICAL	mazza-and-more	chicken-platter	Chicken Platter	1/2 lb Sweet Chicken 1/2 lb Sesame Chicken 1/2 lb Fire Poppers 1/2 lb Captain Crunch Chicken 2 oz Dipping Sauce	SQ1399041													79.2	0	No	Unlimited	/Specials		0	0	0	0	Yes
67cf7c8159814a34043d919a	7123a1f4-f2b7-4e4c-ae86-5b33f7f5aa23	PHYSICAL	mazza-and-more	chicken-wonton	Chicken Wonton	Chicken Wonton.	SQ1800947													26.4	0	No	Unlimited	/Mazza		0	0	0	0	Yes
67cf7fa2fcb668047bcf7e50	ba83f716-55a0-455a-b344-981be3e94004	PHYSICAL	mazza-and-more	chulent-1-lb	Chulent (1 Lb)	Sold Per Pound	SQ3713190													10.8	0	No	Unlimited	/Mazza		0	0	0	0	Yes
67cf7ff159814a34043d9548	36e239b2-9ef5-4133-a6a6-c4d8dc6459b1	PHYSICAL	mazza-and-more	chulent-2-lb	Chulent (2 Lb)	Sold Per Pound	SQ4423054													16.8	0	No	Unlimited	/Mazza		0	0	0	0	Yes
67cf7de859814a34043d92fb	6d65f0f2-dbee-47f4-be80-3c1522e99074	PHYSICAL	mazza-and-more	crazy-crunchy-chicken	CRAZY Crunchy Chicken	Price Per Dozen	SQ0978817													26.4	0	No	Unlimited	/Mazza		0	0	0	0	Yes
