Product ID [Non Editable]	Variant ID [Non Editable]	Product Type [Non Editable]	Product Page	Product URL	Title	Description	SKU	Option Name 1	Option Value 1	Option Name 2	Option Value 2	Option Name 3	Option Value 3	Option Name 4	Option Value 4	Option Name 5	Option Value 5	Option Name 6	Option Value 6	Price	Sale Price	On Sale	Stock	Categories	Tags	Weight	Length	Width	Height	Visible
640b583484a4533feef4252f	63fb2d08-c3bf-4f56-a45b-da04dc494e0c	PHYSICAL	ruthies-place	5l5c3qbiovlijf71nf1e78t8mx8hgm	Israeli SALAD	Israeli SALAD.	SQ0251784													16.2	0	No	Unlimited	/Shabbat takeout		0	0	0	0	Yes
6400f855fade8f7413d7027b	38880a9e-a8e7-4ae6-926f-c4c299e1e7ba	PHYSICAL	ruthies-place	beet-salad	BEET SALAD	BEET SALAD.	SQ6004067	Size	Half Pound											5.4	0	No	Unlimited	/Dips		0	0	0	0	Yes
6400f7149e69980e78d79973	2ff63eec-c9a6-4d62-a645-a1122ba6778f	PHYSICAL	ruthies-place	cabbage-salad	Cabbage SALAD	Cabbage SALAD.	SQ0135772	Size	Half Pound											5.4	0	No	Unlimited	/Dips		0	0	0	0	Yes
6400f809ab53294764b6059e	db879bcf-2105-4599-b1e2-e6590ae37781	PHYSICAL	ruthies-place	carrot-salad	Carrot SALAD	Carrot SALAD.	SQ2944882	Size	Half Pound											5.4	0	No	Unlimited	/Dips		0	0	0	0	Yes
6400f7dcfade8f7413d70221	8ec3f8fc-ae08-43fa-8e64-2e8e5a46ae4b	PHYSICAL	ruthies-place	chick-pea-salad	CHICK PEA SALAD	CHICK PEA SALAD.	SQ7077996	Size	Half Pound											5.4	0	No	Unlimited	/Dips		0	0	0	0	Yes
	26931f92-fa4a-4d8c-bfba-4a42848d5a38		ruthies-place			CHICK PEA SALAD.	SQ0571465	Size	1 Pound											10.8	0	No	Unlimited	/Dips		0	0	0	0	
67ae6e68dea52e202ede3ff6	a2f99855-fbdc-4abd-bae3-2cdc2fe3e834	PHYSICAL	ruthies-place	cranberry-crunch	Cranberry Crunch	Cranberry Crunch.	SQ6530186													18.99	0	No	Unlimited	/Shabbat takeout		0	0	0	0	Yes
6400f6711df0d270243dcf19	5734727b-2fc4-4154-8426-be39595a7e6d	PHYSICAL	ruthies-place	eggplant-salad	Eggplant SALAD	Eggplant SALAD.	SQ9559700	Size	Half Pound											5.4	0	No	Unlimited	/Dips		0	0	0	0	Yes
	3d2f7674-4894-4c9c-adf2-a7b7ff22db95		ruthies-place			Eggplant SALAD.	SQ2943550	Size	1 Pound											10.8	0	No	Unlimited	/Dips		0	0	0	0	
67ae6e8beff71c3a3826b19d	1bd8da46-3865-42c1-b7ed-4b0eccef2e92	PHYSICAL	ruthies-place	franks-n-blanks	Franks N' Blanks	Franks N' Blanks.	SQ0019094													19.99	0	No	Unlimited	/Shabbat takeout		0	0	0	0	Yes
67ae6e8a1be36f24407fab3d	2b79a0bf-6ca1-45cb-a890-b06cd061066d	PHYSICAL	ruthies-place	g83fjt0zwpvlw8yx9lpm656jeau6tt		Franks N' Blanks.	SQ9900145													0	0	No	Unlimited	/Shabbat takeout		0	0	0	0	No
67ae6e671be36f24407fab0e	8f94b1f2-6ff7-4397-9528-f47af8b5be30	PHYSICAL	ruthies-place	h7x3n895vkcgteqyafsvik5k3l1ld4		Franks N' Blanks.	SQ2507250													0	0	No	Unlimited	/Shabbat takeout		0	0	0	0	No
6314c2a18fa7f80b1bd4878b	d994ce64-9217-4a0c-96cc-5de15d73df24	PHYSICAL	ruthies-place	kedem-grape-juice-nptaj	KEDEM GRAPE JUICE	Kedem 64 fl oz.	SQ4214335													9.99	0	No	Unlimited	/Kiddush		0	0	0	0	Yes
6314c2a18fa7f80b1bd48781	c23c3578-1488-412a-9679-673d534d5054	PHYSICAL	ruthies-place	kibbeh-tp7h9	Kibbeh	7 Pieces	SQ7305446													21.6	0	No	Unlimited	/Shabbat takeout		0	0	0	0	Yes
6314c2a18fa7f80b1bd4876d	95fd5c90-2e10-4beb-b53e-71901c2e7d72	PHYSICAL	ruthies-place	matbucha-3xlnh-d8cgf	Chopped LIVER	1 LB	SQ4876318													16.8	0	No	Unlimited	/Dips		0	0	0	0	Yes
6314c2a18fa7f80b1bd48772	a9baf78f-7c91-48d8-8fd6-129bc739edfa	PHYSICAL	ruthies-place	matbucha-3xlnh-kln2m-bspwj	Techina	1 LB	SQ5150405	Size	1/2 Pound											5.4	0	No	Unlimited	/Dips		0	0	0	0	Yes
	e0216c16-7886-4e59-947c-9a35edd67c7e		ruthies-place			Techina.	SQ6155417	Size	1 Pound											5.4	0	No	Unlimited	/Dips		0	0	0	0	
6314c2a18fa7f80b1bd48777	d0c70292-5391-45ab-abb6-c9de967a643f	PHYSICAL	ruthies-place	matbucha-3xlnh-kln2m-yedwt-4fg3p	Hummus	Hummus.	SQ5667033	Size	1/2 Pound											5.4	0	No	Unlimited	/Dips		0	0	0	0	Yes
	25f1feed-c402-4349-ba9c-b8892465de42		ruthies-place			Hummus.	SQ3755625	Size	1 Pound											10.8	0	No	Unlimited	/Dips		0	0	0	0	
6314c2a18fa7f80b1bd48767	c82f09e2-9c07-494b-8955-f42de9790167	PHYSICAL	ruthies-place	matbucha-ycxnz	Matbucha	1 LB	SQ8374364	Size	1/2 Pound											5.4	0	No	Unlimited	/Dips		0	0	0	0	Yes
	06928147-116a-45ee-adc4-02334c7245d6		ruthies-place			Matbucha.	SQ6036643	Size	1 Pound											10.8	0	No	Unlimited	/Dips		0	0	0	0	
6314c2a18fa7f80b1bd48786	218571b8-9b95-49d3-ae64-8186c2edf2ff	PHYSICAL	ruthies-place	meat-cigars-xzb6p	MEAT Cigars	8 Pieces	SQ0241886													18	0	No	Unlimited	/Shabbat takeout		0	0	0	0	Yes
6314c2a18fa7f80b1bd4877c	551d1267-307d-43f2-b3fd-89210eb9b1ac	PHYSICAL	ruthies-place	potato-cigars-1-rnpt7	Potato Cigars	8 Pieces	SQ4142655													14.4	0	No	Unlimited	/Shabbat takeout		0	0	0	0	Yes
6314c2a08fa7f80b1bd48744	79dc0416-4b0f-44e1-aea6-da36a58f470f	PHYSICAL	ruthies-place	potato-cigars-kw57z	Seasoned Schnitzel	8 Pieces (small pieces)	SQ1613654													19.2	0	No	Unlimited	/Shabbat takeout		0	0	0	0	Yes
