Product ID [Non Editable]	Variant ID [Non Editable]	Product Type [Non Editable]	Product Page	Product URL	Title	Description	SKU	Option Name 1	Option Value 1	Option Name 2	Option Value 2	Option Name 3	Option Value 3	Option Name 4	Option Value 4	Option Name 5	Option Value 5	Option Name 6	Option Value 6	Price	Sale Price	On Sale	Stock	Categories	Tags	Weight	Length	Width	Height	Visible
6314c2ff8fa7f80b1bd4c00f	84354b7c-41da-4b8d-9540-aed43b6fed2c	PHYSICAL	the-cheese-store	024rg7pldw7gyhumf9vb5d33cnschf-3lydr	Camembert	Camembert.	SQ0000407													10.99	0	No	Unlimited	/Prepacked brei cheese		0	0	0	0	Yes
6314c2ff8fa7f80b1bd4c01a	879322c9-fb22-4f59-87c9-d596d40e4aa8	PHYSICAL	the-cheese-store	024rg7pldw7gyhumf9vb5d33cnschf-3yn8j-5khlr-s5drm	FRESH Smoked Mozzarella BALL	FRESH Smoked Mozzarella BALL.	SQ3648548													7.69	0	No	Unlimited	/Prepacked brei cheese		0	0	0	0	Yes
6314c2ff8fa7f80b1bd4c024	1d2cefcc-8ecd-4719-9ca6-0357cfa3c700	PHYSICAL	the-cheese-store	024rg7pldw7gyhumf9vb5d33cnschf-3yn8j-5khlr-x43b3-jkngl-wchwl	FRESH Mozzarella BALL	FRESH Mozzarella BALL.	SQ6628738													6.59	0	No	Unlimited	/Prepacked brei cheese		0	0	0	0	Yes
6314c2ff8fa7f80b1bd4c01f	efc31fc9-3940-4f9d-bfba-7cc6d58e114d	PHYSICAL	the-cheese-store	024rg7pldw7gyhumf9vb5d33cnschf-3yn8j-5khlr-x43b3-mg824	Smoked GOUDA	Smoked GOUDA.	SQ7158323													9.89	0	No	Unlimited	/Prepacked brei cheese		0	0	0	0	Yes
6314c2ff8fa7f80b1bd4c015	7cde2d5d-ff90-4b35-ae68-b5aba3e8717c	PHYSICAL	the-cheese-store	024rg7pldw7gyhumf9vb5d33cnschf-3yn8j-yg9lk	BRIE	BRIE.	SQ6127507													10.99	0	No	Unlimited	/Prepacked brei cheese		0	0	0	0	Yes
6314c2ff8fa7f80b1bd4c029	46c9b209-ae47-49ea-8aab-785f1e9fe2bf	PHYSICAL	the-cheese-store	024rg7pldw7gyhumf9vb5d33cnschf-he7nx-827jp	GOAT BRIE	GOAT BRIE.	SQ6548352													13.19	0	No	Unlimited	/Prepacked brei cheese		0	0	0	0	Yes
6314c2ff8fa7f80b1bd4c0df	2ff1dde9-ddf5-4dff-90cc-65685792f25f	PHYSICAL	the-cheese-store	aged-havarti-966pe	AGED Havarti	1 LB	SQ6852046													17.6	0	No	Unlimited	/Spicy cheese		0	0	0	0	Yes
6314c2ff8fa7f80b1bd4c0f4	a05cd5fe-d02b-4b00-9396-38fe85c14f68	PHYSICAL	the-cheese-store	assorted-cheese-and-crackers-platter-5awsz	Assorted Cheese and Crackers Platter	Fresh assorted cheese and cracker platter, with option to add dried fruit and nuts or olives for a small extra charge.	SQ6382783	Size	Small	Dried Fruit + Nuts or Olives addition	None									93.5	0	No	Unlimited	/Patters		0	0	0	0	Yes
	358ffd46-e486-4295-a7c6-7865f5f4b9f5		the-cheese-store			Assorted Cheese and Crackers Platter.	SQ2527786	Size	Small	Dried Fruit + Nuts or Olives addition	Dried fruit + Nuts									103.5	0	No	Unlimited	/Patters		0	0	0	0	
	ec379dab-97e7-409a-8f23-b406bf151541		the-cheese-store			Assorted Cheese and Crackers Platter.	SQ8541648	Size	Small	Dried Fruit + Nuts or Olives addition	Dried Fruit + Olives									103.5	0	No	Unlimited	/Patters		0	0	0	0	
	220cf464-9a06-45d4-a420-b9a677c4beca		the-cheese-store			Assorted Cheese and Crackers Platter.	SQ5513110	Size	Large	Dried Fruit + Nuts or Olives addition	None									137.5	0	No	Unlimited	/Patters		0	0	0	0	
	4bf70871-654b-478a-be81-9e6292706b21		the-cheese-store			Assorted Cheese and Crackers Platter.	SQ0810651	Size	Large	Dried Fruit + Nuts or Olives addition	Dried fruit + Nuts									147.5	0	No	Unlimited	/Patters		0	0	0	0	
